RUBiS Transition Table	More writes																													
																														
"To >>>
From vvvv  "	Home	Reg.	Reg. User	Browse	Br. Cat.	Search Items Cat.	Br. Reg.	Br. Cat. Reg.	Search Items Reg.	View Item	View User Info	View Bid Hist.	Buy Now Auth	Buy Now	Store Buy Now	Put Bid Auth	Put Bid	Store Bid	Put Com. Auth	Put Comment	Store Comment	Sell	Cat. Sell Item	Sell Item Form	Reg. Item	About Me (auth)	About Me	GetAuctionsReadyForClose	CloesAuction	Transition waiting time
StoreBuyNowow	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PutBidAuth	0	0	0	0	0	0.89	0	0	0.89	0.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0
PutBid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
StoreBid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83	0	0	0	0	0	0	0	0	0	0	0	0	0
PutCommentAuth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PutComment	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.05	0	0.99	0	0	0	0	0	0	0	0	0	0	0
StoreComment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0
Sell	0.1	0.001	0.1	0.01	0.001	0.001	0.001	0.001	0.001	0.01	0.001	0.001	0.001	0.01	0.1	0.001	0.01	0.1	0.001	0.01	0.1	0.01	0.001	0.001	0.1	0.001	0.001	0	0.1	0
SelectCategoryToSellItem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0
SellItemForm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0
RegisterItem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0
AboutMe (auth form)	0.01	0.0001	0.01	0.001	0.0001	0.0001	0.0001	0.0001	0.0001	0.001	0.0001	0.0001	0.0001	0.001	0.01	0.0001	0.001	0.01	0.0001	0.001	0.01	0.001	0.0001	0.0001	0.01	0.0001	0.0001	0	0.01	0
AboutMe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0
GetAuctionsReadyForClose	0.03	0.0003	0.03	0.003	0.0003	0.0003	0.0003	0.0003	0.0003	0.003	0.0003	0.0003	0.0003	0.003	0.03	0.0003	0.003	0.03	0.0003	0.003	0.03	0.003	0.0003	0.0003	0.03	0.0003	0.0003	0	0.03	0
CloseAuction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Back probability	0	0	0	0	0	0	0	0	0	0.05	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
End of Session	0.01	0	0.01	0	0	0.01	0	0	0.01	0.01	0.01	0	0	0	0.01	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0.01	0	0.01	0
Header probability	0	0.01	1	0.1	0.01	0.01	0.01	0.01	0.01	0.1	0.01	0.01	0.01	0.1	1	0.01	0.1	1	0.01	0.1	1	0.1	0.01	0.01	1	0.01	0.01	0.01	1	
	0.99	0.9998	0.99	0.916	0.9999	1.0099	0.9999	0.9999	1.0099	1.009	1.0099	0.9999	0.9999	0.999	1	0.9999	0.999	1	0.9999	0.999	1	0.999	0.9999	0.9999	1	0.9999	1.0099	1	1	0
																														
Probabilities for header																														
HomeProb	0.01			0	Value that is automatically computed																									
RegisterProb	0.01			0	Value that has to be set manually																									
BrowseProb	0.83			0	State where we can potentially go back (value must be set to 0)																									
SellProb	0.1																													
AboutMeProb	0.01																													
CloseAuctionProb	0.03																													
EndOfSessionProb	0.01																													
Total	1																													
																														
Probabilities for home page																														
RegisterProb	1																													
BrowseProb	1																													
SellProb	1																													
AboutMeProb	0.05																													
CloseAuctionProb	0.01																													
Total	3.06																													
