RUBiS Transition Table	Cheng's 15% Updates with short waiting time

"To >>>
From vvvv  "	Home	Reg.	Reg. User	Browse	Br. Cat.	Search Items Cat.	Br. Reg.	Br. Cat. Reg.	Search Items Reg.	View Item	View User Info	View Bid Hist.	Buy Now Auth	Buy Now	Store Buy Now	Put Bid Auth	Put Bid	Store Bid	Put Com. Auth	Put Comment	Store Comment	Sell	Cat. Sell Item	Sell Item Form	Reg. Item	About Me (auth)	About Me	GetAuctionsReadyForClose	CloseAuction	Transition waiting time
AboutMe (auth form)	0.15	0.0015	0.15	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.15	0.0015	0.0015	0.15	0.0015	0.0015	0.15	0.0015	0.0015	0.0015	0.15	0.0015	0.03	0.0015	0.15	200
AboutMe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	200
GetAuctionsReadyForClose	0.01	0.0001	0.01	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.01	0.0001	0.0001	0.01	0.0001	0.0001	0.01	0.0001	0.0001	0.0001	0.01	0.0001	0.002	0.0001	0.01	200
CloseAuction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	200
Back probability	0	0	0	0	0	0	0	0	0	0.5	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
End of Session	0	0	0.2	0	0	0.2	0	0	0.2	0.2	0.2	0	0	0	0.2	0	0	0.2	0	0	0.2	0	0	0	0.2	0	0.2	0	0.2	0
Header probability	0	0.01	1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1	0.01	0.01	1	0.01	0.01	1	0.01	0.01	0.01	1	0.01	0.2	0.01	1


Probabilities for header
HomeProb	0.01			0	Value that is automatically computed
RegisterProb	0.01			0	Value that has to be set manually
BrowseProb	0.57			0	State where we can potentially go back (value must be set to 0)
SellProb	0.05
AboutMeProb	0.15
CloseAuctionProb	0.01
EndOfSessionProb	0.2
Total	1

Probabilities for home page
RegisterProb	0.07
BrowseProb	0.69
SellProb	0.08
AboutMeProb	0.15
CloseAuctionProb	0.01
Total	1
